Name;Class;Role;Tier;Score;Trend;Win %;Role %;Pick %;Ban %;KDA
Aatrox;Fighter;TOP;God;78.04;18.05;50.05%;93.07%;7.05%;3.39%;1.91
Ahri;Mage;MID;God;95.45;0.23;52.32%;94.53%;14.40%;13.64%;2.57
Akali;Assassin;MID;S;69.59;4.82;49.62%;66.35%;8.45%;18.34%;2.31
Akali;Assassin;TOP;A;56.22;-18.57;48.17%;33.04%;3.93%;18.34%;2.04
Akshan;Marksman;MID;A;52.94;-1.48;50.23%;58.16%;3.94%;16.16%;2.19
Akshan;Marksman;TOP;A;49.75;9.18;51.97%;34.63%;2.28%;16.16%;1.9
Alistar;Tank;SUPPORT;B;43.9;0.9;49.17%;96.48%;2.94%;0.64%;2.46
Amumu;Tank;JUNGLE;B;44.24;-0.71;50.15%;80.89%;2.82%;1.34%;2.48
Amumu;Tank;SUPPORT;C;37.03;7.73;48.59%;17.51%;0.32%;1.34%;2.02
Anivia;Mage;MID;A;53.6;0.85;52.36%;82.14%;2.90%;2.96%;2.56
Anivia;Mage;SUPPORT;D;33.39;2.21;46.38%;11.84%;0.38%;2.91%;2.11
Annie;Mage;MID;A;49.02;1.63;52.41%;86.20%;1.86%;0.75%;2.31
Aphelios;Marksman;ADC;B;45.36;1.67;47.08%;98.01%;9.11%;1.59%;2.01
Ashe;Marksman;ADC;B;45.56;0.48;49.75%;90.10%;5.47%;0.87%;2.32
Aurelion Sol;Mage;MID;A;50.51;5.36;53.58%;89.06%;1.02%;0.37%;2.68
Azir;Mage;MID;D;33.5;-3.01;45.65%;90.34%;1.40%;0.25%;2.04
Bard;Support;SUPPORT;B;46.32;2.79;49.68%;95.68%;2.73%;0.57%;2.9
Blitzcrank;Tank;SUPPORT;S;59.42;-14.84;51.65%;97.92%;8.01%;20.38%;2.47
Brand;Mage;SUPPORT;B;46.24;0.36;51.24%;70.24%;3.47%;5.20%;1.8
Brand;Mage;MID;B;42.19;2.34;51.08%;17.30%;0.92%;5.70%;1.99
Brand;Mage;ADC;B;41.98;-0.66;52.95%;10.23%;0.42%;5.70%;2.15
Braum;Support;SUPPORT;C;39.87;-0.83;47.40%;97.11%;1.97%;0.36%;2.64
Caitlyn;Marksman;ADC;A;55.52;-1.29;47.72%;97.85%;13.11%;12.01%;2.17
Camille;Fighter;TOP;S;67.08;-10.64;50.07%;95.80%;5.50%;4.70%;1.9
